DEPARTAMENTO,DOSIS1,DOSIS2,DOSIS3,POBLACION,INDICE
AMAZONAS,220584,171608,3812,426806,40207
ANCASH,816311,660838,9266,1180638,55973
APURIMAC,285004,215334,5426,430736,49992
AREQUIPA,1046788,867995,14873,1497438,57965
AYACUCHO,341392,259191,5174,668213,38789
CAJAMARCA,825218,640716,9647,1453711,44075
CALLAO,934148,744199,21771,1129854,65867
CUSCO,826551,632446,7394,1357075,46604
HUANCAVELICA,206104,153971,3816,365317,42147
HUANUCO,393601,284504,6747,760267,37422
ICA,683923,541040,9620,975182,55481
JUNIN,844295,709700,10253,1361467,52128
LA LIBERTAD,1217411,951442,16268,2016771,47177
LAMBAYEQUE,808002,619375,8847,1310785,47252
LIMA,7758447,6236559,181632,10628470,58678
LORETO,462048,298519,7181,1027559,29051
MADRE DE DIOS,79077,52913,1091,173811,30443
MOQUEGUA,134910,112365,2642,192740,58299
PASCO,162748,133038,2788,271904,48928
PIURA,1193032,901136,9890,2047954,44002
PUNO,490162,367180,5971,1237997,29659
SAN MARTIN,513106,390221,7911,899648,43375
TACNA,244445,215161,3893,370974,57999
TUMBES,172744,130519,1909,251521,51892
UCAYALI,269866,191568,3466,589110,32518
