DEPARTAMENTO,D1J1,D1J2,D1J3,D1J4,D1J5,D2J1,D2J2,D2J3,D2J4,D2J5,POBLACION,INDICE1_J1,INDICE2_J1,INDICE1_J2,INDICE2_J2,INDICE1_J3,INDICE2_J3,INDICE1_J4,INDICE2_J4,INDICE1_J5,INDICE2_J5
AMAZONAS,,,,,3274,,,,,9427,426806,,,,,,,,,767.09,2208.73
ANCASH,,,,,2808,,,,,2203,1180638,,,,,,,,,237.84,186.59
APURIMAC,,,,,1641,,,,,1189,430736,,,,,,,,,380.98,276.04
AREQUIPA,,,,50947,26184,,,,4135,2691,1497438,,,,,,,3402.28,276.14,1748.59,179.71
AYACUCHO,,,,,8389,,,,,2966,668213,,,,,,,,,1255.44,443.87
CAJAMARCA,,,,35256,23814,,,,10828,3530,1453711,,,,,,,2425.24,744.85,1638.15,242.83
CALLAO,28641,18971,31571,27914,18793,1206,9008,16179,18688,4370,1129854,2534.93,106.74,1679.07,797.27,2794.25,1431.95,2470.58,1654.02,1663.31,386.78
CUSCO,,,,,13929,,,,,17112,1357075,,,,,,,,,1026.4,1260.95
HUANCAVELICA,,,,,1984,,,,,2659,365317,,,,,,,,,543.09,727.86
HUANUCO,,,,,7349,,,,,5894,760267,,,,,,,,,966.63,775.25
ICA,,,,1545,5892,,,,48801,1097,975182,,,,,,,158.43,5004.3,604.19,112.49
JUNIN,,,,47222,,,,,31494,,1361467,,,,,,,3468.46,2313.24,,
LA LIBERTAD,,,,,,,,,,,2016771,,,,,,,,,,
LAMBAYEQUE,,,,,,,,,,,1310785,,,,,,,,,,
LIMA,237162,152549,276995,275885,152416,10263,76092,148936,173258,59821,10628470,2231.38,96.56,1435.29,715.93,2606.16,1401.29,2595.72,1630.13,1434.04,562.84
LORETO,,,,,,,,,,,1027559,,,,,,,,,,
MADRE DE DIOS,,,,,478,,,,,140,173811,,,,,,,,,275.01,80.55
MOQUEGUA,,,,,718,,,,,9099,192740,,,,,,,,,372.52,4720.87
PASCO,,,,3206,,,,,3914,,271904,,,,,,,1179.09,1439.48,,
PIURA,,,,55229,3093,,,,15458,39572,2047954,,,,,,,2696.79,754.8,151.03,1932.27
PUNO,,,,,14920,,,,,1346,1237997,,,,,,,,,1205.17,108.72
SAN MARTIN,,,,,,,,,,,899648,,,,,,,,,,
TACNA,,,,,9313,,,,,4672,370974,,,,,,,,,2510.42,1259.39
TUMBES,,,,3204,,,,,10071,,251521,,,,,,,1273.85,4004.04,,
UCAYALI,,,,,,,,,,,589110,,,,,,,,,,
