PROVINCIA,POBLACION
CHACHAPOYAS,47370
LUYA,41701
BONGARA,24429
RODRIGUEZ DE MENDOZA,27181
UTCUBAMBA,102220
BAGUA,76437
CONDORCANQUI,52246
AIJA,6904
ASUNCION,7057
MARISCAL LUZURIAGA,19657
RECUAY,18325
HUAYLAS,50258
CARLOS FEMIN FITZCARRALD,16909
POMABAMBA,23094
HUARAZ,145916
CARHUAZ,44235
HUARMEY,27166
HUARI,68588
OCROS,6091
BOLOGNESI,21623
CORONGO,6586
SIHUAS,26088
SANTA,405649
CASMA,43295
YUNGAY,51210
ANTONIO RAYMONDI,13142
PALLASCA,21522
AYMARAES,25329
ABANCAY,96323
GRAU,21830
ANTABAMBA,11325
ANDAHUAYLAS,135157
CHINCHEROS,43364
COTABAMBAS,44916
ISLAY,50989
AREQUIPA,1010463
CARAVELI,30272
CASTILLA,30086
CAMANA,55061
LA UNIÓN,13113
CONDESUYOS,14112
CAYLLOMA,87395
SUCRE,9048
LUCANAS,41497
PAUCAR DEL SARA SARA,7780
VICTOR FAJARDO,19566
PARINACOCHAS,21435
HUANCA SANCOS,8917
VILCAS HUAMAN,18733
HUAMANGA,248286
HUANTA,84668
CANGALLO,30408
LA MAR,69431
SAN PABLO,21837
SANTA CRUZ,37048
SAN MIGUEL,45061
CUTERVO,116602
CHOTA,141787
CONTUMAZA,24900
CAJAMARCA,319399
CAJABAMBA,69711
CELENDIN,80246
SAN IGNACIO,125031
HUALGAYOC,83310
JAEN,185669
SAN MARCOS,46757
CALLAO,937313
CUSCO,402178
ANTA,55863
URUBAMBA,63352
PARURO,29082
ACOMAYO,23121
CANCHIS,92822
CALCA,63468
CANAS,35186
QUISPICANCHI,83892
LA CONVENCION,176874
PAUCATAMBO,42722
CHUMBIVILCAS,68148
ESPINAR,55175
CASTROVIRREYNA,17319
HUAYTARA,20763
HUANCAVELICA,112603
TAYACAJA,86038
CHURCAMPA,33089
ANGARAES,46216
ACOBAMBA,40278
HUACAYBAMBA,15549
LAURICOCHA,21768
HUAMALIES,52439
HUANUCO,262909
YAROWILCA,30229
DOS DE MAYO,34292
AMBO,50517
MARAÑON,25491
LEONCIO PRADO,119145
PACHITEA,50022
PUERTO INCA,33797
CHINCHA,199187
ICA,343027
PALPA,13605
PISCO,132001
NAZCA,65912
YAULI,35005
JAUJA,79449
TARMA,84503
JUNIN,20600
HUANCAYO,505798
CHUPACA,55679
CONCEPCIÓN,55576
CHANCHAMAYO,148541
SATIPO,160063
ASCOPE,107981
PACASMAYO,91382
TRUJILLO,899600
CHEPEN,76314
VIRU,82791
JULCAN,30209
SANTIAGO DE CHUCO,48370
OTUZCO,82587
GRAN CHIMU,25874
PATAZ,66651
SANCHEZ CARRION,136804
BOLIVAR,14173
CHICLAYO,762197
FERREÑAFE,93488
LAMBAYEQUE,270434
LIMA,8472439
CAÑETE,206932
HUAURA,200994
OYON,14960
CANTA,12834
HUARAL,171712
BARRANCA,133550
CAJATAMBO,6615
HUAROCHIRI,96996
YAUYOS,24162
MAYNAS,452948
REQUENA,59613
ALTO AMAZONAS,113952
LORETO,63789
UCAYALI,58367
PUTUMAYO,8629
MARISCAL RAMÓN CASTILLA,61337
DATEM DEL MARAÑON,56533
TAHUAMANU,9736
TAMBOPATA,114697
MANU,15930
GENERAL SANCHEZ CERRO,14362
MARISCAL NIETO,81422
ILO,71783
PASCO,121241
DANIEL ALCIDES CARRIÓN,28580
OXAPAMPA,90119
SULLANA,283934
PAITA,108135
TALARA,124726
PIURA,680271
SECHURA,66259
MORROPON,153863
AYABACA,121268
HUANCABAMBA,109392
PUNO,204101
LAMPA,40641
SAN ROMÁN,255931
MELGAR,63497
HUANCANE,61650
AZANGARO,113316
YUNGUYO,34512
EL COLLAO,60071
SAN ANTONIO DE PUTINA,26520
CHUCUITO,69158
CARABAYA,55528
SANDIA,49202
MOHO,23923
SAN MARTIN,172322
LAMAS,77940
HUALLAGA,26423
PICOTA,39006
EL DORADO,35071
BELLAVISTA,51058
MARISCAL CACERES,58511
MOYOBAMBA,116617
TOCACHE,68028
RIOJA,119749
JORGE BASADRE,10049
CANDARAVE,6927
TARATA,7214
TACNA,295740
CONTRALMIRANTE VILLAR,17944
TUMBES,136966
ZARUMILLA,42009
CORONEL PORTILLO,364852
PADRE ABAD,62275
PURUS,3793
ATALAYA,50228
