,Región,D1J1,D1J2,D1J3,D1J4,D1J5,D2J1,D2J2,D2J3,D2J4,D2J5,POBLACION,INDICE1_J1,INDICE2_J1,INDICE1_J2,INDICE2_J2,INDICE1_J3,INDICE2_J3,INDICE1_J4,INDICE2_J4,INDICE1_J5,INDICE2_J5
0,Amazonas,,,,,3274.0,,,,,9427.0,426806,,,,,,,,,767.09,2208.73
1,Ancash,,,,,2808.0,,,,,2203.0,1180638,,,,,,,,,237.84,186.59
2,Apurimac,,,,,1641.0,,,,,1189.0,430736,,,,,,,,,380.98,276.04
3,Arequipa,,,,50947.0,26184.0,,,,4135.0,2691.0,1497438,,,,,,,3402.28,276.14,1748.59,179.71
4,Ayacucho,,,,,8389.0,,,,,2966.0,668213,,,,,,,,,1255.44,443.87
5,Cajamarca,,,,35256.0,23814.0,,,,10828.0,3530.0,1453711,,,,,,,2425.24,744.85,1638.15,242.83
6,Callao,28641.0,18971.0,31571.0,27914.0,18793.0,1206.0,9008.0,16179.0,18688.0,4370.0,1129854,2534.93,106.74,1679.07,797.27,2794.25,1431.95,2470.58,1654.02,1663.31,386.78
7,Cusco,,,,,13929.0,,,,,17112.0,1357075,,,,,,,,,1026.4,1260.95
8,Huancavelica,,,,,1984.0,,,,,2659.0,365317,,,,,,,,,543.09,727.86
9,Huanuco,,,,,7349.0,,,,,5894.0,760267,,,,,,,,,966.63,775.25
10,Ica,,,,1545.0,5892.0,,,,48801.0,1097.0,975182,,,,,,,158.43,5004.3,604.19,112.49
11,Junin,,,,47222.0,,,,,31494.0,,1361467,,,,,,,3468.46,2313.24,,
12,La Libertad,,,,,,,,,,,2016771,,,,,,,,,,
13,Lambayeque,,,,,,,,,,,1310785,,,,,,,,,,
14,Lima,237162.0,152549.0,276995.0,275885.0,152416.0,10263.0,76092.0,148936.0,173258.0,59821.0,10628470,2231.38,96.56,1435.29,715.93,2606.16,1401.29,2595.72,1630.13,1434.04,562.84
15,Loreto,,,,,,,,,,,1027559,,,,,,,,,,
16,Madre de Dios,,,,,478.0,,,,,140.0,173811,,,,,,,,,275.01,80.55
17,Moquegua,,,,,718.0,,,,,9099.0,192740,,,,,,,,,372.52,4720.87
18,Pasco,,,,3206.0,,,,,3914.0,,271904,,,,,,,1179.09,1439.48,,
19,Piura,,,,55229.0,3093.0,,,,15458.0,39572.0,2047954,,,,,,,2696.79,754.8,151.03,1932.27
20,Puno,,,,,14920.0,,,,,1346.0,1237997,,,,,,,,,1205.17,108.72
21,San Martin,,,,,,,,,,,899648,,,,,,,,,,
22,Tacna,,,,,9313.0,,,,,4672.0,370974,,,,,,,,,2510.42,1259.39
23,Tumbes,,,,3204.0,,,,,10071.0,,251521,,,,,,,1273.85,4004.04,,
24,Ucayali,,,,,,,,,,,589110,,,,,,,,,,
